HCR#,,As Of Date,Contract Origin (and Admin Official),,,Contract Destination,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,29.5,1.75?,?,?,1,,,,,
7,1,30,MANCHESTER,05:15:00 ET,15 min,05:30:00 ET,24VN,9-608,60,12/06/2024 06/30/2026,
7,2,3060,NASHUA,06:10:00 ET,9 min,06:19:00 ET,,,,,
7,3,3051,HUDSON,06:35:00 ET,9 min,06:44:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,22.8,1.48?,?,?,0.93,,,,,
8,1,3051,HUDSON,06:45:00 ET,9 min,06:54:00 ET,24VN,9-608,60,12/06/2024 06/30/2026,
8,2,30,MANCHESTER,07:35:00 ET,15 min,07:50:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,20.8,1.08?,?,?,0.68,,,,,
9,1,30,MANCHESTER,05:45:00 ET,15 min,06:00:00 ET,45FT,K7,303,12/06/2024 06/30/2026,
9,2,3051,HUDSON,06:40:00 ET,9 min,06:49:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,22,1.07?,?,?,0.67,,,,,
10,1,3051,HUDSON,06:49:00 ET,6 min,06:55:00 ET,45FT,K7,303,12/06/2024 06/30/2026,
10,2,30,MANCHESTER,07:35:00 ET,15 min,07:50:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,20.8,1.02?,?,?,0.67,,,,,
11,1,30,MANCHESTER,05:50:00 ET,15 min,06:05:00 ET,45FT,K7,303,12/06/2024 06/30/2026,
11,2,3060,NASHUA,06:45:00 ET,9 min,06:54:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,18.7,1.07?,?,?,0.67,,,,,
12,1,3060,NASHUA,06:54:00 ET,6 min,07:00:00 ET,45FT,K7,303,06/01/2024 06/30/2026,
12,2,30,MANCHESTER,07:40:00 ET,15 min,07:55:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,17.3,1.02?,?,?,0.67,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
13,1,30,MANCHESTER,09:45:00 ET,15 min,10:00:00 ET,45FT,9-608,60,12/06/2024 06/30/2026,
13,2,3060,NASHUA,10:40:00 ET,9 min,10:49:00 ET,,,,,
13,3,3051,HUDSON,11:05:00 ET,9 min,11:14:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,22.8,1.48?,?,?,0.93,,,,,
14,1,3051,HUDSON,11:15:00 ET,9 min,11:24:00 ET,45FT,9-608,60,12/06/2024 06/30/2026,
14,2,30,MANCHESTER,12:05:00 ET,15 min,12:20:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,20.8,1.08?,?,?,0.68,,,,,
15,1,30,MANCHESTER,12:55:00 ET,15 min,13:10:00 ET,45FT,K7,303,12/06/2024 06/30/2026,
15,2,3060,NASHUA,13:45:00 ET,15 min,14:00:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,18.7,1.08?,?,?,0.58,,,,,
16,1,3060,NASHUA,14:01:00 ET,15 min,14:16:00 ET,45FT,K7,303,12/06/2024 06/30/2026,
16,2,30,MANCHESTER,14:50:00 ET,15 min,15:05:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,17.3,1.07?,?,?,0.57,,,,,
17,1,30,MANCHESTER,15:10:00 ET,15 min,15:25:00 ET,45FT,K7,303,12/06/2024 06/30/2026,
17,2,3060,NASHUA,16:01:00 ET,9 min,16:10:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,18.7,1.00?,?,?,0.6,,,,,
18,1,3060,NASHUA,16:11:00 ET,9 min,16:20:00 ET,45FT,K7,303,12/06/2024 06/30/2026,
18,2,30,MANCHESTER,17:00:00 ET,15 min,17:15:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,17.3,1.07?,?,?,0.67,,,,,
19,1,30,MANCHESTER,16:45:00 ET,15 min,17:00:00 ET,45FT,6X,51,12/06/2024 06/30/2026,
19,2,3051,HUDSON,17:35:00 ET,15 min,17:50:00 ET,,,,,
19,3,3060,NASHUA,18:09:00 ET,9 min,18:18:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,25.9,1.55?,?,?,0.9,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
20,1,3060,NASHUA,18:19:00 ET,15 min,18:34:00 ET,45FT,6X,51,12/06/2024 06/30/2026,
20,2,30,MANCHESTER,19:20:00 ET,15 min,19:35:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,17.3,1.27?,?,?,0.77,,,,,
21,1,30,MANCHESTER,17:00:00 ET,15 min,17:15:00 ET,45FT,K67,251,12/06/2024 06/30/2026,
21,2,3051,HUDSON,18:00:00 ET,15 min,18:15:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,22,1.25?,?,?,0.75,,,,,
22,1,3051,HUDSON,18:16:00 ET,9 min,18:25:00 ET,45FT,K67,251,12/06/2024 06/30/2026,
22,2,30,MANCHESTER,19:00:00 ET,15 min,19:15:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,20.8,0.98?,?,?,0.58,,,,,
23,1,30,MANCHESTER,17:15:00 ET,15 min,17:30:00 ET,45FT,K67,251,12/06/2024 06/30/2026,
23,2,3060,NASHUA,18:09:00 ET,9 min,18:18:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,18.7,1.05?,?,?,0.65,,,,,
24,1,3060,NASHUA,18:19:00 ET,15 min,18:34:00 ET,45FT,K67,251,12/06/2024 06/30/2026,
24,2,30,MANCHESTER,19:20:00 ET,15 min,19:35:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,17.3,1.27?,?,?,0.77,,,,,
25,1,30,MANCHESTER,03:55:00 ET,15 min,04:10:00 ET,24VN,K7,303,08/31/2024 06/30/2026,
25,2,3054,MERRIMACK,04:25:00 ET,9 min,04:34:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,9.9,0.65?,?,?,0.25,,,,,
26,1,3054,MERRIMACK,04:34:00 ET,6 min,04:40:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
26,2,30,MANCHESTER,05:05:00 ET,15 min,05:20:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,9.4,0.77?,?,?,0.42,,,,,
27,1,30,MANCHESTER,10:15:00 ET,15 min,10:30:00 ET,24VN,235X,154,12/06/2024 06/30/2026,
27,2,3054,MERRIMACK,10:51:00 ET,9 min,11:00:00 ET,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
27,3,3060,NASHUA,11:30:00 ET,9 min,11:39:00 ET,,,,,
27,4,3051,HUDSON,12:10:00 ET,9 min,12:19:00 ET,,,,,
27,5,030HS,HUDSON MALL,12:30:00 ET,6 min,12:36:00 ET,,,,,
27,6,030NA,REGIONAL HOME CARE,13:05:00 ET,6 min,13:11:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,41.9,2.93?,?,?,2.03,,,,,
28,1,030NA,REGIONAL HOME CARE,13:12:00 ET,6 min,13:18:00 ET,24VN,235X,154,12/06/2024 06/30/2026,
28,2,30,MANCHESTER,13:35:00 ET,15 min,13:50:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,5.3,0.63?,?,?,0.28,,,,,
29,1,30,MANCHESTER,10:15:00 ET,15 min,10:30:00 ET,24VN,14X,97,12/06/2024 06/30/2026,
29,2,3054,MERRIMACK,10:51:00 ET,9 min,11:00:00 ET,,,,,
29,3,3060,NASHUA,11:30:00 ET,9 min,11:39:00 ET,,,,,
29,4,030LG,LIFE IS GOOD,11:55:00 ET,9 min,12:04:00 ET,,,,,
29,5,3051,HUDSON,12:20:00 ET,9 min,12:29:00 ET,,,,,
29,6,030HS,HUDSON MALL,12:40:00 ET,9 min,12:49:00 ET,,,,,
29,7,030NA,REGIONAL HOME CARE,13:18:00 ET,6 min,13:24:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,48.7,3.15?,?,?,2.05,,,,,
30,1,030NA,REGIONAL HOME CARE,13:24:00 ET,6 min,13:30:00 ET,24VN,14X,97,12/06/2024 06/30/2026,
30,2,30,MANCHESTER,13:50:00 ET,15 min,14:05:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,5.3,0.68?,?,?,0.33,,,,,
31,1,30,MANCHESTER,10:15:00 ET,15 min,10:30:00 ET,24VN,6X,51,08/31/2024 06/30/2026,
31,2,3054,MERRIMACK,10:51:00 ET,9 min,11:00:00 ET,,,,,
31,3,3060,NASHUA,11:30:00 ET,15 min,11:45:00 ET,,,,,
31,4,030HS,HUDSON MALL,11:55:00 ET,5 min,12:00:00 ET,,,,,
31,5,3051,HUDSON,12:10:00 ET,6 min,12:16:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,25.4,2.02?,?,?,1.19,,,,,
32,1,3051,HUDSON,12:17:00 ET,9 min,12:26:00 ET,24VN,6X,51,12/06/2024 06/30/2026,
32,2,30,MANCHESTER,14:00:00 ET,15 min,14:15:00 ET,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,20.8,1.97?,?,?,1.57,,,,,
33,1,30,MANCHESTER,13:50:00 ET,15 min,14:05:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
33,2,3054,MERRIMACK,14:24:00 ET,6 min,14:30:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,9.7,0.67?,?,?,0.32,,,,,
34,1,3054,MERRIMACK,14:31:00 ET,15 min,14:46:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
34,2,30,MANCHESTER,15:05:00 ET,15 min,15:20:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,9.4,0.82?,?,?,0.32,,,,,
35,1,30,MANCHESTER,15:40:00 ET,15 min,15:55:00 ET,24VN,Q67,255,12/06/2024 06/30/2026,
35,2,030NA,REGIONAL HOME CARE,16:10:00 ET,9 min,16:19:00 ET,,,,,
35,3,030AI,ATLANTIC INNOVATIONS,16:55:00 ET,9 min,17:04:00 ET,,,,,
35,4,030PM,NASHUA,17:30:00 ET,15 min,17:45:00 ET,,,,,
35,5,3054,MERRIMACK,18:05:00 ET,9 min,18:14:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,30.5,2.57?,?,?,1.62,,,,,
36,1,3054,MERRIMACK,18:15:00 ET,6 min,18:21:00 ET,24VN,Q67,255,12/06/2024 06/30/2026,
36,2,30,MANCHESTER,18:40:00 ET,15 min,18:55:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,9.4,0.67?,?,?,0.32,,,,,
37,1,30,MANCHESTER,17:10:00 ET,15 min,17:25:00 ET,24VN,6,52,12/06/2024 06/30/2026,
37,2,3054,MERRIMACK,17:44:00 ET,6 min,17:50:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,9.7,0.67?,?,?,0.32,,,,,
38,1,3054,MERRIMACK,17:51:00 ET,9 min,18:00:00 ET,24VN,6,52,12/06/2024 06/30/2026,
38,2,30,MANCHESTER,18:20:00 ET,15 min,18:35:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,9.4,0.73?,?,?,0.33,,,,,
39,1,30,MANCHESTER,02:45:00 ET,15 min,03:00:00 ET,24LG,K7,303,12/06/2024 06/30/2026,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
39,2,3032,AUBURN,03:25:00 ET,9 min,03:34:00 ET,,,,,
39,3,3034,CANDIA,03:53:00 ET,9 min,04:02:00 ET,,,,,
39,4,3077,RAYMOND,04:46:00 ET,6 min,04:52:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,24,2.12?,?,?,1.47,,,,,
40,1,3077,RAYMOND,04:53:00 ET,6 min,04:59:00 ET,24LG,K7,303,12/06/2024 06/30/2026,
40,2,30,MANCHESTER,05:20:00 ET,15 min,05:35:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,19.2,0.70?,?,?,0.35,,,,,
41,1,30,MANCHESTER,05:00:00 ET,15 min,05:15:00 ET,24LG,9-608,60,02/22/2025 06/30/2026,
41,2,3077,RAYMOND,05:50:00 ET,9 min,05:59:00 ET,,,,,
41,3,3824,DURHAM,06:40:00 ET,5 min,06:45:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,37.9,1.75?,?,?,1.27,,,,,
42,1,3824,DURHAM,06:45:00 ET,5 min,06:50:00 ET,24LG,9-608,60,02/22/2025 06/30/2026,
42,2,30,MANCHESTER,07:50:00 ET,15 min,08:05:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,36.1,1.33?,?,?,1,,,,,
43,1,30,MANCHESTER,05:30:00 ET,15 min,05:45:00 ET,26LG,K7,303,12/06/2024 06/30/2026,
43,2,3034,CANDIA,05:56:00 ET,9 min,06:05:00 ET,,,,,
43,3,3077,RAYMOND,06:21:00 ET,9 min,06:30:00 ET,,,,,
43,4,3042,EPPING,06:46:00 ET,9 min,06:55:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,26.8,1.42?,?,?,0.72,,,,,
44,1,3042,EPPING,06:56:00 ET,9 min,07:05:00 ET,26LG,K7,303,12/06/2024 06/30/2026,
44,2,30,MANCHESTER,07:45:00 ET,15 min,08:00:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,23.7,1.07?,?,?,0.67,,,,,
45,1,30,MANCHESTER,09:15:00 ET,15 min,09:30:00 ET,24LG,9-608,60,12/06/2024 06/30/2026,
45,2,3032,AUBURN,09:46:00 ET,9 min,09:55:00 ET,,,,,
45,3,3034,CANDIA,10:11:00 ET,9 min,10:20:00 ET,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
45,4,3077,RAYMOND,10:36:00 ET,9 min,10:45:00 ET,,,,,
45,5,3042,EPPING,11:01:00 ET,9 min,11:10:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,30.1,1.92?,?,?,1.07,,,,,
46,1,3042,EPPING,11:11:00 ET,6 min,11:17:00 ET,24LG,9-608,60,12/06/2024 06/30/2026,
46,2,30,MANCHESTER,11:45:00 ET,15 min,12:00:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,23.7,0.82?,?,?,0.47,,,,,
47,1,30,MANCHESTER,12:15:00 ET,15 min,12:30:00 ET,26LG,K67,251,12/06/2024 06/30/2026,
47,2,3032,AUBURN,12:51:00 ET,9 min,13:00:00 ET,,,,,
47,3,3034,CANDIA,13:16:00 ET,9 min,13:25:00 ET,,,,,
47,4,3077,RAYMOND,13:41:00 ET,9 min,13:50:00 ET,,,,,
47,5,3042,EPPING,14:09:00 ET,6 min,14:15:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,30.1,2.00?,?,?,1.2,,,,,
48,1,3042,EPPING,14:16:00 ET,9 min,14:25:00 ET,26LG,K67,251,12/06/2024 06/30/2026,
48,2,3044,FREMONT,14:41:00 ET,9 min,14:50:00 ET,,,,,
48,3,3077,RAYMOND,15:01:00 ET,9 min,15:10:00 ET,,,,,
48,4,3034,CANDIA,15:26:00 ET,9 min,15:35:00 ET,,,,,
48,5,3032,AUBURN,15:51:00 ET,9 min,16:00:00 ET,,,,,
48,6,30,MANCHESTER,16:20:00 ET,15 min,16:35:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,34.4,2.32?,?,?,1.32,,,,,
49,1,30,MANCHESTER,16:25:00 ET,15 min,16:40:00 ET,26LG,K7,303,12/06/2024 06/30/2026,
49,2,3042,EPPING,17:06:00 ET,9 min,17:15:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,23.9,0.83?,?,?,0.43,,,,,
50,1,3042,EPPING,17:16:00 ET,6 min,17:22:00 ET,26LG,K7,303,12/06/2024 06/30/2026,
50,2,3044,FREMONT,17:31:00 ET,9 min,17:40:00 ET,,,,,
50,3,3077,RAYMOND,17:51:00 ET,9 min,18:00:00 ET,,,,,
50,4,3034,CANDIA,18:16:00 ET,9 min,18:25:00 ET,,,,,
50,5,3032,AUBURN,18:39:00 ET,6 min,18:45:00 ET,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
50,6,30,MANCHESTER,19:05:00 ET,15 min,19:20:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,34.4,2.07?,?,?,1.17,,,,,
51,1,030PM,NASHUA,15:45:00 ET,15 min,16:00:00 ET,53FT,QQ,363,12/06/2024 06/30/2026,
51,2,030LG,LIFE IS GOOD,16:30:00 ET,15 min,16:45:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,9.9,1.00?,?,?,0.5,,,,,
52,1,030LG,LIFE IS GOOD,16:45:00 ET,15 min,17:00:00 ET,53FT,QQ,363,12/06/2024 06/30/2026,
52,2,030PM,NASHUA,17:30:00 ET,15 min,17:45:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,9.9,1.00?,?,?,0.5,,,,,
61,1,30,MANCHESTER,03:05:00 ET,15 min,03:20:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
61,2,030PM,NASHUA,04:00:00 ET,15 min,04:15:00 ET,,,,,
61,3,033DM,CONCORD ANNEX,05:20:00 ET,9 min,05:29:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,53.9,2.40?,?,?,1.75,,,,,
62,1,033DM,CONCORD ANNEX,05:30:00 ET,9 min,05:39:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
62,2,30,MANCHESTER,06:15:00 ET,15 min,06:30:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,24.2,1.00?,?,?,0.6,,,,,
63,1,30,MANCHESTER,03:15:00 ET,15 min,03:30:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
63,2,033DM,CONCORD ANNEX,04:05:00 ET,9 min,04:14:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,24,0.98?,?,?,0.58,,,,,
64,1,033DM,CONCORD ANNEX,04:15:00 ET,9 min,04:24:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
64,2,30,MANCHESTER,05:00:00 ET,15 min,05:15:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,24.2,1.00?,?,?,0.6,,,,,
65,1,30,MANCHESTER,03:45:00 ET,15 min,04:00:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
65,2,031PS,MANCHESTER SOUTH,04:15:00 ET,15 min,04:30:00 ET,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,1,0.75?,?,?,0.25,,,,,
66,1,031PS,MANCHESTER SOUTH,04:30:00 ET,6 min,04:36:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
66,2,30,MANCHESTER,04:51:00 ET,15 min,05:06:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,1,0.60?,?,?,0.25,,,,,
67,1,30,MANCHESTER,04:45:00 ET,15 min,05:00:00 ET,24VN,QQ,363,12/06/2024 06/30/2026,
67,2,031PS,MANCHESTER SOUTH,05:15:00 ET,9 min,05:24:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,1,0.65?,?,?,0.25,,,,,
68,1,031PS,MANCHESTER SOUTH,05:25:00 ET,6 min,05:31:00 ET,24VN,QQ,363,12/06/2024 06/30/2026,
68,2,30,MANCHESTER,05:45:00 ET,15 min,06:00:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,1,0.58?,?,?,0.23,,,,,
69,1,30,MANCHESTER,05:20:00 ET,15 min,05:35:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
69,2,3106,HOOKSETT,05:55:00 ET,15 min,06:10:00 ET,,,,,
69,3,3275,SUNCOOK,06:25:00 ET,9 min,06:34:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,16.4,1.23?,?,?,0.58,,,,,
70,1,3275,SUNCOOK,06:35:00 ET,5 min,06:40:00 ET,24VN,K7,303,11/09/2024 06/30/2026,
70,2,3106,HOOKSETT,06:51:00 ET,14 min,07:05:00 ET,,,,,
70,3,30,MANCHESTER,07:35:00 ET,15 min,07:50:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,16.8,1.25?,?,?,0.68,,,,,
71,1,30,MANCHESTER,05:25:00 ET,15 min,05:40:00 ET,24VN,9-608,60,12/06/2024 06/30/2026,
71,2,3275,SUNCOOK,06:23:00 ET,9 min,06:32:00 ET,,,,,
71,3,033DM,CONCORD ANNEX,06:50:00 ET,9 min,06:59:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,25.8,1.57?,?,?,1.02,,,,,
72,1,033DM,CONCORD ANNEX,07:00:00 ET,9 min,07:09:00 ET,24VN,9-608,60,12/06/2024 06/30/2026,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
72,2,30,MANCHESTER,07:45:00 ET,15 min,08:00:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,24.2,1.00?,?,?,0.6,,,,,
73,1,30,MANCHESTER,05:45:00 ET,15 min,06:00:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
73,2,031PS,MANCHESTER SOUTH,06:15:00 ET,15 min,06:30:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,1,0.75?,?,?,0.25,,,,,
74,1,031PS,MANCHESTER SOUTH,06:30:00 ET,6 min,06:36:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
74,2,30,MANCHESTER,06:50:00 ET,15 min,07:05:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,1,0.58?,?,?,0.23,,,,,
75,1,30,MANCHESTER,05:50:00 ET,15 min,06:05:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
75,2,033DM,CONCORD ANNEX,06:40:00 ET,9 min,06:49:00 ET,,,,,
75,3,3301,CONCORD,07:00:00 ET,9 min,07:09:00 ET,,,,,
75,4,3303,PENACOOK,07:25:00 ET,9 min,07:34:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,32.5,1.73?,?,?,1.03,,,,,
76,1,3303,PENACOOK,07:35:00 ET,9 min,07:44:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
76,2,30,MANCHESTER,08:25:00 ET,15 min,08:40:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,26.6,1.08?,?,?,0.68,,,,,
